Speed,TS_Sent,TS_Recv,Latency_ms
28.4465,1765894972.238346,1765894972.239000,0.654
21.312,1765894972.248586,1765894972.249000,0.414
12.800,1765894972.269099,1765894972.269000,-0.099
12.870,1765894972.258832,1765894972.269000,10.168
83.459,1765894972.279364,1765894972.290000,10.636
14.580,1765894972.289634,1765894972.290000,0.366
91.961,1765894972.299909,1765894972.300000,0.091
38.535,1765894972.310171,1765894972.310000,-0.171
74.767,1765894972.320447,1765894972.321000,0.553
85.331,1765894972.330719,1765894972.341000,10.281
83.494,1765894972.340979,1765894972.341000,0.021
3.815,1765894972.351255,1765894972.362000,10.745
48.974,1765894972.361521,1765894972.362000,0.479
5.175,1765894972.371886,1765894972.372000,0.114
56.675,1765894972.382134,1765894972.382000,-0.134
87.432,1765894972.392391,1765894972.393000,0.609
39.101,1765894972.402692,1765894972.403000,0.308
76.388,1765894972.412933,1765894972.423000,10.067
45.338,1765894972.423301,1765894972.423000,-0.301
51.783,1765894972.433604,1765894972.434000,0.396
61.364,1765894972.443897,1765894972.444000,0.103
88.460,1765894972.454044,1765894972.454000,-0.044
12.881,1765894972.464405,1765894972.475000,10.595
91.181,1765894972.474591,1765894972.475000,0.409
16.904,1765894972.484750,1765894972.485000,0.250
56.618,1765894972.494910,1765894972.495000,0.090
53.862,1765894972.505054,1765894972.505000,-0.054
34.371,1765894972.515147,1765894972.515000,-0.147
11.758,1765894972.525234,1765894972.525000,-0.234
97.402,1765894972.535323,1765894972.535000,-0.323
87.446,1765894972.545406,1765894972.556000,10.594
24.953,1765894972.555499,1765894972.556000,0.501
66.913,1765894972.565596,1765894972.566000,0.404
53.378,1765894972.575666,1765894972.576000,0.334
70.933,1765894972.585735,1765894972.586000,0.265
40.542,1765894972.595807,1765894972.606000,10.193
89.815,1765894972.605883,1765894972.606000,0.117
55.966,1765894972.615958,1765894972.616000,0.042
54.539,1765894972.626029,1765894972.626000,-0.029
14.686,1765894972.636107,1765894972.636000,-0.107
65.800,1765894972.646187,1765894972.656000,9.813
97.786,1765894972.656262,1765894972.656000,-0.262
3.981,1765894972.666337,1765894972.666000,-0.337
75.654,1765894972.676409,1765894972.677000,0.591
42.813,1765894972.686490,1765894972.687000,0.510
85.109,1765894972.696570,1765894972.707000,10.430
36.518,1765894972.706646,1765894972.707000,0.354
71.878,1765894972.716716,1765894972.717000,0.284
92.047,1765894972.726789,1765894972.727000,0.211
55.574,1765894972.736861,1765894972.737000,0.139
84.593,1765894972.746937,1765894972.747000,0.063
93.661,1765894972.757012,1765894972.757000,-0.012
11.083,1765894972.767092,1765894972.767000,-0.092
66.731,1765894972.777171,1765894972.787000,9.829
72.415,1765894972.787251,1765894972.787000,-0.251
86.057,1765894972.797333,1765894972.797000,-0.333
39.589,1765894972.807494,1765894972.808000,0.506
92.162,1765894972.817650,1765894972.818000,0.350
41.505,1765894972.827877,1765894972.838000,10.123
54.677,1765894972.838136,1765894972.838000,-0.136
65.012,1765894972.848346,1765894972.849000,0.654
82.287,1765894972.858619,1765894972.859000,0.381
94.759,1765894972.868768,1765894972.869000,0.232
58.257,1765894972.878878,1765894972.879000,0.122
35.373,1765894972.888966,1765894972.889000,0.034
66.619,1765894972.899043,1765894972.899000,-0.043
55.552,1765894972.909118,1765894972.909000,-0.118
65.094,1765894972.919197,1765894972.919000,-0.197
24.745,1765894972.929276,1765894972.929000,-0.276
42.684,1765894972.939361,1765894972.940000,0.639
49.808,1765894972.949437,1765894972.950000,0.563
15.945,1765894972.959511,1765894972.960000,0.489
