Starting latency sender on interface: vcan0
Using floats (4 bytes) for data transfer.
Sent speed: 49.459042 at timestamp: 1765553122.791886
Sent speed: 18.535509 at timestamp: 1765553122.802454
Sent speed: 53.251709 at timestamp: 1765553122.813368
Sent speed: 18.490000 at timestamp: 1765553122.825494
Sent speed: 97.730064 at timestamp: 1765553122.836371
Sent speed: 95.425484 at timestamp: 1765553122.847189
Sent speed: 29.724575 at timestamp: 1765553122.858373
Sent speed: 76.796127 at timestamp: 1765553122.874269
Sent speed: 3.345906 at timestamp: 1765553122.885309
Sent speed: 33.179794 at timestamp: 1765553122.895854
Sent speed: 34.543289 at timestamp: 1765553122.907624
Sent speed: 41.796192 at timestamp: 1765553122.918554
Sent speed: 49.051987 at timestamp: 1765553122.931040
Sent speed: 29.209099 at timestamp: 1765553122.942019
Sent speed: 62.683517 at timestamp: 1765553122.952937
Sent speed: 76.067665 at timestamp: 1765553122.963905
Sent speed: 1.521856 at timestamp: 1765553122.974513
Sent speed: 61.259888 at timestamp: 1765553122.986172
Sent speed: 40.685097 at timestamp: 1765553122.996767
Sent speed: 7.775125 at timestamp: 1765553123.007183
Sent speed: 40.482307 at timestamp: 1765553123.018495
Sent speed: 79.705254 at timestamp: 1765553123.029880
Sent speed: 4.056844 at timestamp: 1765553123.044322
Sent speed: 86.224373 at timestamp: 1765553123.054903
Sent speed: 6.964061 at timestamp: 1765553123.066917
Sent speed: 63.160950 at timestamp: 1765553123.080603
Sent speed: 63.717747 at timestamp: 1765553123.091605
Sent speed: 59.195061 at timestamp: 1765553123.104579
Sent speed: 66.355347 at timestamp: 1765553123.115632
Sent speed: 32.288898 at timestamp: 1765553123.126029
Sent speed: 4.894714 at timestamp: 1765553123.137064
Sent speed: 59.137577 at timestamp: 1765553123.147695
Sent speed: 53.438778 at timestamp: 1765553123.157951
Sent speed: 34.527027 at timestamp: 1765553123.169642
Sent speed: 91.244598 at timestamp: 1765553123.180650
Sent speed: 6.627150 at timestamp: 1765553123.194927
Sent speed: 18.865540 at timestamp: 1765553123.206706
Sent speed: 29.994770 at timestamp: 1765553123.219861
Sent speed: 22.751720 at timestamp: 1765553123.230730
Sent speed: 96.799278 at timestamp: 1765553123.241594
Sent speed: 30.603516 at timestamp: 1765553123.252501
Sent speed: 1.013718 at timestamp: 1765553123.262929
Sent speed: 12.781230 at timestamp: 1765553123.274271
Sent speed: 50.792469 at timestamp: 1765553123.286655
Sent speed: 27.068230 at timestamp: 1765553123.299400
Sent speed: 2.236026 at timestamp: 1765553123.309760
Sent speed: 76.373161 at timestamp: 1765553123.323484
Sent speed: 96.964523 at timestamp: 1765553123.333930
Sent speed: 59.867935 at timestamp: 1765553123.345246
Sent speed: 2.002572 at timestamp: 1765553123.359396
Sent speed: 8.042910 at timestamp: 1765553123.369889
Sent speed: 13.515635 at timestamp: 1765553123.381842
Sent speed: 66.195946 at timestamp: 1765553123.393342
Sent speed: 25.380695 at timestamp: 1765553123.404593
Sent speed: 67.407722 at timestamp: 1765553123.416988
Sent speed: 84.900024 at timestamp: 1765553123.427289
Sent speed: 20.382811 at timestamp: 1765553123.439011
Sent speed: 86.984512 at timestamp: 1765553123.449556
Sent speed: 14.309491 at timestamp: 1765553123.460480
Sent speed: 24.662151 at timestamp: 1765553123.471157
Sent speed: 29.353260 at timestamp: 1765553123.482446
Sent speed: 4.567395 at timestamp: 1765553123.492713
Sent speed: 88.995842 at timestamp: 1765553123.505814
Sent speed: 93.999741 at timestamp: 1765553123.517759
Sent speed: 71.292938 at timestamp: 1765553123.528140
Sent speed: 30.009375 at timestamp: 1765553123.540271
Sent speed: 89.341125 at timestamp: 1765553123.551936
Sent speed: 79.956230 at timestamp: 1765553123.563964
Sent speed: 35.707077 at timestamp: 1765553123.575507
Sent speed: 46.258636 at timestamp: 1765553123.588462
Sent speed: 18.641933 at timestamp: 1765553123.598750
Sent speed: 73.855812 at timestamp: 1765553123.609164
Sent speed: 93.604752 at timestamp: 1765553123.620442
Sent speed: 5.372560 at timestamp: 1765553123.630802
Sent speed: 97.799995 at timestamp: 1765553123.641640
Sent speed: 83.400269 at timestamp: 1765553123.652585
Sent speed: 68.744125 at timestamp: 1765553123.662880
Sent speed: 4.230263 at timestamp: 1765553123.673943
Sent speed: 49.367027 at timestamp: 1765553123.685546
Sent speed: 35.038727 at timestamp: 1765553123.696308
Sent speed: 14.845103 at timestamp: 1765553123.707783
Sent speed: 58.636902 at timestamp: 1765553123.720128
Sent speed: 76.705917 at timestamp: 1765553123.730734
Sent speed: 57.300121 at timestamp: 1765553123.741278
Sent speed: 33.835365 at timestamp: 1765553123.752011
Sent speed: 52.481438 at timestamp: 1765553123.762669
Sent speed: 31.541611 at timestamp: 1765553123.775028
Sent speed: 86.922440 at timestamp: 1765553123.786501
Sent speed: 20.765423 at timestamp: 1765553123.796780
Sent speed: 58.935005 at timestamp: 1765553123.806956
Sent speed: 30.799500 at timestamp: 1765553123.817538
Sent speed: 92.976204 at timestamp: 1765553123.829522
Sent speed: 33.037983 at timestamp: 1765553123.840542
Sent speed: 59.227417 at timestamp: 1765553123.853368
Sent speed: 30.910048 at timestamp: 1765553123.863937
Sent speed: 92.942307 at timestamp: 1765553123.875483
Sent speed: 41.119186 at timestamp: 1765553123.886399
Sent speed: 90.473076 at timestamp: 1765553123.898561
Sent speed: 80.428459 at timestamp: 1765553123.910428
Sent speed: 71.444283 at timestamp: 1765553123.920665
Sent speed: 7.244130 at timestamp: 1765553123.932023
Sent speed: 78.935646 at timestamp: 1765553123.943259
Sent speed: 20.704136 at timestamp: 1765553123.954155
Sent speed: 96.181030 at timestamp: 1765553123.964608
Sent speed: 47.037071 at timestamp: 1765553123.974835
Sent speed: 24.866524 at timestamp: 1765553123.986525
Sent speed: 53.160702 at timestamp: 1765553123.996755
Sent speed: 67.873856 at timestamp: 1765553124.007551
Sent speed: 79.626755 at timestamp: 1765553124.018290
Sent speed: 33.283619 at timestamp: 1765553124.032235
Sent speed: 20.229935 at timestamp: 1765553124.042772
Sent speed: 15.965204 at timestamp: 1765553124.056209
Sent speed: 3.667042 at timestamp: 1765553124.066776
Sent speed: 81.325394 at timestamp: 1765553124.077950
Sent speed: 77.913322 at timestamp: 1765553124.088814
Sent speed: 43.361839 at timestamp: 1765553124.099249
Sent speed: 57.684250 at timestamp: 1765553124.112325
Sent speed: 61.715931 at timestamp: 1765553124.123598
Sent speed: 19.553379 at timestamp: 1765553124.136016
Sent speed: 30.487173 at timestamp: 1765553124.146999
Sent speed: 14.265119 at timestamp: 1765553124.159199
Sent speed: 71.135040 at timestamp: 1765553124.172386
Sent speed: 82.759438 at timestamp: 1765553124.182902
Sent speed: 18.519009 at timestamp: 1765553124.193624
Sent speed: 23.297586 at timestamp: 1765553124.204836
Sent speed: 11.888955 at timestamp: 1765553124.218583
Sent speed: 70.437393 at timestamp: 1765553124.229052
Sent speed: 33.037865 at timestamp: 1765553124.239820
Sent speed: 34.638741 at timestamp: 1765553124.251369
Sent speed: 67.463371 at timestamp: 1765553124.262231
Sent speed: 36.333458 at timestamp: 1765553124.272508
Sent speed: 50.729328 at timestamp: 1765553124.284884
Sent speed: 70.216652 at timestamp: 1765553124.295931
Sent speed: 52.016914 at timestamp: 1765553124.308998
Sent speed: 3.909622 at timestamp: 1765553124.320076
Sent speed: 77.863892 at timestamp: 1765553124.330494
Sent speed: 48.259567 at timestamp: 1765553124.340808
Sent speed: 53.780968 at timestamp: 1765553124.351584
Sent speed: 48.623608 at timestamp: 1765553124.361959
Sent speed: 25.712666 at timestamp: 1765553124.372751
Sent speed: 86.706657 at timestamp: 1765553124.383045
Sent speed: 55.341118 at timestamp: 1765553124.397160
Sent speed: 21.799698 at timestamp: 1765553124.410397
Sent speed: 96.896111 at timestamp: 1765553124.420755
Sent speed: 89.128456 at timestamp: 1765553124.431028
Sent speed: 25.447412 at timestamp: 1765553124.444629
Sent speed: 34.089809 at timestamp: 1765553124.455785
Sent speed: 63.279564 at timestamp: 1765553124.468149
Sent speed: 41.172539 at timestamp: 1765553124.478457
Sent speed: 84.161545 at timestamp: 1765553124.488607
Sent speed: 35.940754 at timestamp: 1765553124.500512
Sent speed: 88.988701 at timestamp: 1765553124.511864
Sent speed: 7.352746 at timestamp: 1765553124.522381
