Starting latency sender on interface: vcan0
Using floats (4 bytes) for data transfer.
Sent speed: 67.561302 at timestamp: 1765964092.364476
Sent speed: 62.194283 at timestamp: 1765964092.374642
Sent speed: 17.437262 at timestamp: 1765964092.384839
Sent speed: 47.688473 at timestamp: 1765964092.395056
Sent speed: 62.936314 at timestamp: 1765964092.405325
Sent speed: 8.200058 at timestamp: 1765964092.415560
Sent speed: 93.979332 at timestamp: 1765964092.425912
Sent speed: 28.534756 at timestamp: 1765964092.436224
Sent speed: 43.097984 at timestamp: 1765964092.446372
Sent speed: 77.026787 at timestamp: 1765964092.456539
Sent speed: 35.487892 at timestamp: 1765964092.466813
Sent speed: 25.600657 at timestamp: 1765964092.477065
Sent speed: 22.489706 at timestamp: 1765964092.487349
Sent speed: 93.371681 at timestamp: 1765964092.497618
Sent speed: 59.409733 at timestamp: 1765964092.507879
Sent speed: 75.937546 at timestamp: 1765964092.518232
Sent speed: 18.849009 at timestamp: 1765964092.528498
Sent speed: 15.437796 at timestamp: 1765964092.538690
Sent speed: 37.271465 at timestamp: 1765964092.548945
Sent speed: 17.235987 at timestamp: 1765964092.559280
Sent speed: 94.119377 at timestamp: 1765964092.569446
Sent speed: 57.454342 at timestamp: 1765964092.579706
Sent speed: 67.475822 at timestamp: 1765964092.590069
Sent speed: 24.745686 at timestamp: 1765964092.600318
Sent speed: 82.956406 at timestamp: 1765964092.610596
Sent speed: 43.389088 at timestamp: 1765964092.620876
Sent speed: 92.028580 at timestamp: 1765964092.631150
Sent speed: 52.846493 at timestamp: 1765964092.641344
Sent speed: 64.468849 at timestamp: 1765964092.651507
Sent speed: 48.993191 at timestamp: 1765964092.661792
Sent speed: 48.247723 at timestamp: 1765964092.672067
Sent speed: 23.325258 at timestamp: 1765964092.682316
Sent speed: 78.106049 at timestamp: 1765964092.692594
Sent speed: 41.244080 at timestamp: 1765964092.702875
Sent speed: 27.114588 at timestamp: 1765964092.713145
Sent speed: 90.935440 at timestamp: 1765964092.723444
Sent speed: 84.057419 at timestamp: 1765964092.733749
Sent speed: 78.799782 at timestamp: 1765964092.744023
Sent speed: 54.737938 at timestamp: 1765964092.754344
Sent speed: 24.521692 at timestamp: 1765964092.764665
Sent speed: 93.790001 at timestamp: 1765964092.774922
Sent speed: 90.936615 at timestamp: 1765964092.785219
Sent speed: 94.158440 at timestamp: 1765964092.795520
Sent speed: 90.884476 at timestamp: 1765964092.805808
Sent speed: 4.522480 at timestamp: 1765964092.816010
Sent speed: 1.811508 at timestamp: 1765964092.826296
Sent speed: 96.767525 at timestamp: 1765964092.836584
Sent speed: 46.732075 at timestamp: 1765964092.846750
Sent speed: 79.721352 at timestamp: 1765964092.857033
Sent speed: 37.380833 at timestamp: 1765964092.867321
Sent speed: 26.533710 at timestamp: 1765964092.877606
Sent speed: 29.045185 at timestamp: 1765964092.887776
Sent speed: 59.069244 at timestamp: 1765964092.898054
Sent speed: 17.491385 at timestamp: 1765964092.908275
Sent speed: 25.347584 at timestamp: 1765964092.918533
Sent speed: 43.343128 at timestamp: 1765964092.928826
Sent speed: 58.246403 at timestamp: 1765964092.939053
Sent speed: 8.616977 at timestamp: 1765964092.949319
